s	Lv	Rv	Ld	Rd
27.25	-3.30000013113022E-4	-9.80000019073486E-4	-7.90000021457672E-4	-1.99999995529652E-5
27.5	-4.90000009536743E-4	-0.00101999998092651	-6.29999995231628E-4	4.00000005960464E-4
27.75	-6.00000023841858E-4	-9.80000019073486E-4	-5.60000002384186E-4	7.40000009536743E-4
28	-7.09999978542328E-4	-9.80000019073486E-4	-4.49999988079071E-4	9.59999978542328E-4
28.25	-7.79999971389771E-4	-8.89999985694885E-4	-4.69999998807907E-4	0.00114999997615814
28.5	-7.40000009536743E-4	-8.39999973773956E-4	-3.19999992847443E-4	0.00128999996185303
28.75	-6.70000016689301E-4	-7.40000009536743E-4	-1.80000007152557E-4	0.00137000000476837
29	-4.90000009536743E-4	-6.10000014305115E-4	-7.00000002980232E-5	0.00139999997615814
29.25	-3.30000013113022E-4	-4.30000007152557E-4	5.99999986588955E-5	0.00129999995231628
29.5	-1.19999997317791E-4	-2.8999999165535E-4	1.19999997317791E-4	0.00122000002861023
29.75	0	-2.5E-4	2.80000001192093E-4	0.00113999998569489
30	9.00000035762787E-5	-2.70000010728836E-4	4.00000005960464E-4	0.00110000002384186
30.25	1.19999997317791E-4	-3.30000013113022E-4	5.40000021457672E-4	0.00113999998569489
30.5	1.19999997317791E-4	-4.19999986886978E-4	6.00000023841858E-4	0.00107000005245209
30.75	5.99999986588955E-5	-5E-4	5.60000002384186E-4	0.00102999997138977
31	-9.00000035762787E-5	-5.79999983310699E-4	5.50000011920929E-4	9.10000026226044E-4
31.25	-2.5E-4	-6.70000016689301E-4	5.50000011920929E-4	8.50000023841858E-4
31.5	-4.30000007152557E-4	-6.70000016689301E-4	5.40000021457672E-4	8.19999992847443E-4
31.75	-5.79999983310699E-4	-6.80000007152557E-4	4.69999998807907E-4	7.59999990463257E-4
32	-7.5E-4	-6.29999995231628E-4	4.6000000834465E-4	7.59999990463257E-4
32.25	-9.10000026226044E-4	-6.70000016689301E-4	5.09999990463257E-4	6.99999988079071E-4
32.5	-0.00105999994277954	-7.79999971389771E-4	5.79999983310699E-4	8.00000011920929E-4
32.75	-0.00119000005722046	-8.60000014305115E-4	7.40000009536743E-4	8.29999983310699E-4
33	-0.00125	-0.00100999999046326	8.60000014305115E-4	0.00101999998092651
33.25	-0.00126999998092651	-0.001	9.59999978542328E-4	0.00112999999523163
33.5	-0.00128999996185303	-0.00101999998092651	8.99999976158142E-4	0.00124000000953674
33.75	-0.00126999998092651	-9.70000028610229E-4	8.10000002384186E-4	0.00137999999523163
34	-0.00125999999046326	-8.79999995231628E-4	7.5E-4	0.00145000004768372
34.25	-0.00114999997615814	-7.69999980926514E-4	6.49999976158142E-4	0.00162999999523163
34.5	-0.00104999995231628	-5.60000002384186E-4	5.79999983310699E-4	0.00173000001907349
34.75	-9.20000016689301E-4	-3.89999985694885E-4	5.60000002384186E-4	0.00191999995708466
35	-7.40000009536743E-4	-2.30000004172325E-4	6.89999997615814E-4	0.00205999994277954
35.25	-5.29999971389771E-4	-1.89999997615814E-4	8.39999973773956E-4	0.00214000010490417
35.5	-2.5E-4	-1.00000001490116E-4	0.00103999996185303	0.00217000007629395
35.75	0	-2.99999993294477E-5	0.00122000002861023	0.00215000009536743
36	2.39999994635582E-4	1.99999995529652E-5	0.00132000005245209	0.00217000007629395
36.25	4.69999998807907E-4	1.00000001490116E-4	0.00126999998092651	0.0020699999332428
36.5	6.29999995231628E-4	1.09999999403954E-4	0.00117999994754791	0.00200999999046326
36.75	7.59999990463257E-4	1.80000007152557E-4	0.00112000000476837	0.00195000004768372
37	8.10000002384186E-4	1.70000001788139E-4	9.90000009536743E-4	0.00189999997615814
37.25	8.19999992847443E-4	2.59999990463257E-4	8.10000002384186E-4	0.00186000001430511
37.5	8.10000002384186E-4	2.8999999165535E-4	6.49999976158142E-4	0.00177999997138977
37.75	7.69999980926514E-4	2.8999999165535E-4	5.40000021457672E-4	0.00177999997138977
38	7.20000028610229E-4	2.59999990463257E-4	4.69999998807907E-4	0.00175
38.25	6.99999988079071E-4	2.70000010728836E-4	4.00000005960464E-4	0.00175999999046326
38.5	7.40000009536743E-4	3.10000002384186E-4	2.8999999165535E-4	0.00174000000953674
38.75	7.69999980926514E-4	3.30000013113022E-4	1.00000001490116E-4	0.00170000004768372
39	7.79999971389771E-4	4.19999986886978E-4	-1.50000005960464E-4	0.00171000003814697
39.25	7.30000019073486E-4	4.69999998807907E-4	-3.30000013113022E-4	0.00178999996185303
39.5	7.09999978542328E-4	5.29999971389771E-4	-4.69999998807907E-4	0.00191999995708466
39.75	7.09999978542328E-4	5.09999990463257E-4	-5.19999980926514E-4	0.00192999994754791
40	6.70000016689301E-4	5.19999980926514E-4	-5.29999971389771E-4	0.00191999995708466
40.25	6.29999995231628E-4	4.69999998807907E-4	-3.89999985694885E-4	0.0019099999666214
40.5	5E-4	3.30000013113022E-4	-1.59999996423721E-4	0.00194000005722046
40.75	4.30000007152557E-4	2.09999993443489E-4	1.40000000596046E-4	0.00194000005722046
41	3.19999992847443E-4	5.00000007450581E-5	4.6000000834465E-4	0.00182000005245209
41.25	3.30000013113022E-4	9.9999997764826E-6	7.79999971389771E-4	0.00167999994754791
41.5	3.19999992847443E-4	-9.00000035762787E-5	0.00105999994277954	0.00151999998092651
41.75	3.40000003576279E-4	-9.00000035762787E-5	0.00125	0.00148000001907349
42	3.70000004768372E-4	-9.00000035762787E-5	0.00145000004768372	0.00150999999046326
42.25	3.70000004768372E-4	-9.9999997764826E-6	0.00157000005245209	0.00166999995708466
42.5	3.89999985694885E-4	1.09999999403954E-4	0.00155999994277954	0.00176999998092651
42.75	2.8999999165535E-4	2.59999990463257E-4	0.00137999999523163	0.00187999999523163
43	2.39999994635582E-4	4.00000005960464E-4	0.00122000002861023	0.00191999995708466
43.25	1.19999997317791E-4	5.29999971389771E-4	0.00114999997615814	0.00201999998092651
43.5	9.00000035762787E-5	6.89999997615814E-4	0.00123000001907349	0.00207999992370605
43.75	7.00000002980232E-5	8.10000002384186E-4	0.0013400000333786	0.00223000001907349
44	1.00000001490116E-4	9.20000016689301E-4	0.00137000000476837	0.00226999998092651
44.25	1.09999999403954E-4	9.80000019073486E-4	0.00132000005245209	0.00230999994277954
44.5	9.00000035762787E-5	9.90000009536743E-4	0.00125	0.00226999998092651
44.75	1.09999999403954E-4	9.49999988079071E-4	0.0013400000333786	0.00226999998092651
45	1.29999995231628E-4	9.10000026226044E-4	0.00138999998569489	0.00214000010490417
45.25	1.80000007152557E-4	8.89999985694885E-4	0.00135000002384186	0.00183000004291534
45.5	1.89999997615814E-4	8.79999995231628E-4	0.00123000001907349	0.00139999997615814
45.75	1.89999997615814E-4	7.5E-4	0.00108000004291534	0.00103999996185303
46	1.50000005960464E-4	5.19999980926514E-4	8.99999976158142E-4	8.00000011920929E-4
46.25	7.00000002980232E-5	2.59999990463257E-4	6.60000026226044E-4	6.00000023841858E-4
46.5	9.9999997764826E-6	-1.99999995529652E-5	4.00000005960464E-4	4.69999998807907E-4
46.75	-5.00000007450581E-5	-2.70000010728836E-4	3.99999991059303E-5	2.5E-4
47	-1.19999997317791E-4	-5.29999971389771E-4	-4.30000007152557E-4	2.99999993294477E-5
47.25	-2.19999998807907E-4	-7.20000028610229E-4	-8.39999973773956E-4	-1.70000001788139E-4
47.5	-3.40000003576279E-4	-8.79999995231628E-4	-0.00116999995708466	-3.49999994039536E-4
47.75	-4.39999997615814E-4	-9.70000028610229E-4	-0.00147000002861023	-5.19999980926514E-4
48	-5.69999992847443E-4	-0.00101999998092651	-0.0018400000333786	-7.79999971389771E-4
48.25	-6.60000026226044E-4	-0.00100999999046326	-0.00208999991416931	-0.001
48.5	-8.10000002384186E-4	-0.00104999995231628	-0.00211999988555908	-0.00119000005722046
48.75	-9.70000028610229E-4	-0.00105999994277954	-0.00201999998092651	-0.00132000005245209
49	-0.00112999999523163	-0.00103999996185303	-0.00175999999046326	-0.00152999997138977
49.25	-0.00127999997138977	-0.00101999998092651	-0.00149000000953674	-0.00171000003814697
49.5	-0.00137000000476837	-9.90000009536743E-4	-0.00120000004768372	-0.00187999999523163
49.75	-0.00152999997138977	-9.59999978542328E-4	-0.00103999996185303	-0.00200999999046326
50	-0.00163999998569489	-9.39999997615814E-4	-8.39999973773956E-4	-0.00201999998092651
50.25	-0.00171000003814697	-8.39999973773956E-4	-6.10000014305115E-4	-0.00201999998092651
50.5	-0.00169000005722046	-7.69999980926514E-4	-4.49999988079071E-4	-0.00196000003814697
50.75	-0.00164999997615814	-6.00000023841858E-4	-3.70000004768372E-4	-0.002
51	-0.00155999994277954	-4.69999998807907E-4	-4.00000005960464E-4	-0.00199000000953674
51.25	-0.00138999998569489	-4.00000005960464E-4	-4.39999997615814E-4	-0.00198000001907349
51.5	-0.00112000000476837	-2.70000010728836E-4	-5.60000002384186E-4	-0.00192999994754791
51.75	-8.79999995231628E-4	-1.19999997317791E-4	-7.30000019073486E-4	-0.00194000005722046
52	-6.20000004768372E-4	7.99999982118607E-5	-9.20000016689301E-4	-0.00194000005722046
52.25	-4.39999997615814E-4	2.39999994635582E-4	-0.00117999994754791	-0.00200999999046326
52.5	-2.8999999165535E-4	3.30000013113022E-4	-0.00141999995708466	-0.00198000001907349
52.75	-2.30000004172325E-4	4.09999996423721E-4	-0.00157000005245209	-0.00191999995708466
53	-1.80000007152557E-4	4.69999998807907E-4	-0.00162999999523163	-0.00185000002384186
53.25	-9.00000035762787E-5	5.29999971389771E-4	-0.00166999995708466	-0.00187999999523163
53.5	-7.00000002980232E-5	6.10000014305115E-4	-0.00178999996185303	-0.00188999998569489
53.75	-3.99999991059303E-5	6.20000004768372E-4	-0.00178999996185303	-0.00185000002384186
54	-9.00000035762787E-5	5.69999992847443E-4	-0.00169000005722046	-0.00172000002861023
54.25	-9.00000035762787E-5	5.09999990463257E-4	-0.00141999995708466	-0.00157000005245209
54.5	-1.19999997317791E-4	4.49999988079071E-4	-0.00113999998569489	-0.00147000002861023
54.75	-1.40000000596046E-4	4.39999997615814E-4	-9.49999988079071E-4	-0.00137999999523163
55	-1.89999997615814E-4	4.00000005960464E-4	-8.00000011920929E-4	-0.00147000002861023
55.25	-2.59999990463257E-4	4.00000005960464E-4	-7.69999980926514E-4	-0.00142999994754791
55.5	-3.40000003576279E-4	3.30000013113022E-4	-6.60000026226044E-4	-0.00137000000476837
55.75	-4.09999996423721E-4	2.70000010728836E-4	-4.79999989271164E-4	-0.00111000001430511
56	-4.39999997615814E-4	1.59999996423721E-4	-3.40000003576279E-4	-8.70000004768372E-4
56.25	-4.90000009536743E-4	7.00000002980232E-5	-1.00000001490116E-4	-7.20000028610229E-4
56.5	-5.29999971389771E-4	-2.99999993294477E-5	5.00000007450581E-5	-6.20000004768372E-4
56.75	-5.79999983310699E-4	-1.70000001788139E-4	2.70000010728836E-4	-6.10000014305115E-4
57	-6.29999995231628E-4	-2.70000010728836E-4	4.90000009536743E-4	-6.39999985694885E-4
57.25	-6.99999988079071E-4	-4.19999986886978E-4	7.79999971389771E-4	-7.30000019073486E-4
57.5	-7.40000009536743E-4	-5.29999971389771E-4	0.00104999995231628	-8.79999995231628E-4
57.75	-8.00000011920929E-4	-6.39999985694885E-4	0.00112999999523163	-0.00105999994277954
58	-8.39999973773956E-4	-6.60000026226044E-4	0.00120000004768372	-0.0011599999666214
58.25	-8.79999995231628E-4	-6.49999976158142E-4	0.00127999997138977	-0.00112000000476837
58.5	-9.10000026226044E-4	-6.00000023841858E-4	0.00135000002384186	-0.00104999995231628
58.75	-9.39999997615814E-4	-5E-4	0.0013400000333786	-0.00100999999046326
59	-9.49999988079071E-4	-3.70000004768372E-4	0.00121000003814697	-0.00103999996185303
59.25	-9.49999988079071E-4	-2.8999999165535E-4	0.0011599999666214	-0.0010900000333786
59.5	-9.80000019073486E-4	-2.59999990463257E-4	0.00105999994277954	-0.00104999995231628
59.75	-9.59999978542328E-4	-2.09999993443489E-4	0.001	-0.001
60	-9.80000019073486E-4	-1.80000007152557E-4	9.10000026226044E-4	-9.10000026226044E-4
60.25	-9.80000019073486E-4	-1.59999996423721E-4	7.79999971389771E-4	-8.39999973773956E-4
60.5	-0.00101999998092651	-1.29999995231628E-4	6.29999995231628E-4	-7.79999971389771E-4
60.75	-0.00112000000476837	-1.00000001490116E-4	4.49999988079071E-4	-6.60000026226044E-4
61	-0.00114999997615814	-1.99999995529652E-5	4.19999986886978E-4	-6.00000023841858E-4
61.25	-0.00114999997615814	5.00000007450581E-5	3.89999985694885E-4	-5.09999990463257E-4
61.5	-0.0010900000333786	1.50000005960464E-4	3.40000003576279E-4	-5E-4
61.75	-0.001	2.70000010728836E-4	3.10000002384186E-4	-5.09999990463257E-4
62	-9.30000007152557E-4	3.00000011920929E-4	2.70000010728836E-4	-5.19999980926514E-4
62.25	-8.50000023841858E-4	3.30000013113022E-4	2.70000010728836E-4	-5.09999990463257E-4
62.5	-8.50000023841858E-4	2.70000010728836E-4	1.29999995231628E-4	-4.69999998807907E-4
62.75	-8.19999992847443E-4	1.70000001788139E-4	-1.99999995529652E-5	-4.39999997615814E-4
63	-9.10000026226044E-4	2.99999993294477E-5	-2.59999990463257E-4	-4.69999998807907E-4
63.25	-9.90000009536743E-4	-1.19999997317791E-4	-4.69999998807907E-4	-5.29999971389771E-4
63.5	-0.0010900000333786	-2.19999998807907E-4	-5.40000021457672E-4	-5.79999983310699E-4
63.75	-0.00111000001430511	-3.00000011920929E-4	-5.50000011920929E-4	-6.00000023841858E-4
64	-0.00112000000476837	-3.70000004768372E-4	-4.69999998807907E-4	-6.49999976158142E-4
64.25	-0.00121000003814697	-4.19999986886978E-4	-4.79999989271164E-4	-6.80000007152557E-4
64.5	-0.00128999996185303	-4.30000007152557E-4	-4.49999988079071E-4	-6.00000023841858E-4
64.75	-0.00141999995708466	-5E-4	-3.19999992847443E-4	-4.90000009536743E-4
65	-0.00151999998092651	-6.00000023841858E-4	-1.89999997615814E-4	-3.19999992847443E-4
65.25	-0.00164999997615814	-6.80000007152557E-4	0	-2.09999993443489E-4
65.5	-0.00177999997138977	-7.40000009536743E-4	2.99999993294477E-5	-3.99999991059303E-5
65.75	-0.0019099999666214	-7.5E-4	5.00000007450581E-5	-1.99999995529652E-5
66	-0.00201999998092651	-7.40000009536743E-4	-3.99999991059303E-5	-2.99999993294477E-5
66.25	-0.00208999991416931	-7.20000028610229E-4	-1.00000001490116E-4	0
66.5	-0.00211999988555908	-6.70000016689301E-4	-2.99999993294477E-5	5.00000007450581E-5
66.75	-0.00211999988555908	-6.99999988079071E-4	9.9999997764826E-6	1.50000005960464E-4
67	-0.00210999989509583	-6.99999988079071E-4	1.09999999403954E-4	1.59999996423721E-4
67.25	-0.0020699999332428	-7.79999971389771E-4	1.19999997317791E-4	2.19999998807907E-4
67.5	-0.00204999995231628	-9.30000007152557E-4	1.70000001788139E-4	3.19999992847443E-4
67.75	-0.00198000001907349	-0.00108000004291534	2.70000010728836E-4	4.09999996423721E-4
68	-0.00194000005722046	-0.00123000001907349	3.79999995231628E-4	4.49999988079071E-4
